               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11492,            0.037413,            0.055762,           0.0024501,             0.33159,           0.0053393,          0.00093189,            0.099691,            0.025077,            0.050038,              0.0847,              0.0017,              0.0017
                   1,             0.10112,            0.038848,            0.053802,           0.0048423,             0.59575,            0.039327,           0.0096474,            0.083637,            0.025332,            0.046424,            0.068431,           0.0034307,           0.0034307
                   2,            0.083496,            0.043985,            0.049026,             0.40384,             0.09516,             0.11792,            0.032421,            0.071905,            0.023531,            0.041643,             0.05209,           0.0050901,           0.0050901
                   3,            0.076139,            0.039946,            0.043124,             0.89249,             0.17272,              0.2374,            0.085717,            0.069985,            0.022404,            0.038503,            0.035678,           0.0066783,           0.0066783
                   4,            0.075044,            0.035768,            0.042403,             0.92141,              0.1634,             0.28941,            0.093142,            0.068244,            0.022901,            0.035703,            0.019195,           0.0081951,           0.0081951
                   5,            0.072154,            0.036781,             0.04054,             0.86202,             0.11352,             0.24042,            0.097661,            0.065124,            0.020522,            0.033576,             0.00901,             0.00901,             0.00901
                   6,            0.069416,            0.034898,            0.037402,             0.24182,             0.34475,             0.22237,            0.078885,            0.066128,             0.01907,            0.032936,             0.00901,             0.00901,             0.00901
                   7,             0.06232,            0.032271,            0.035853,               0.349,             0.34087,             0.34702,             0.16183,            0.057502,            0.019055,            0.030044,            0.008812,            0.008812,            0.008812
                   8,            0.062981,            0.032788,             0.03201,             0.26283,             0.41598,             0.28256,             0.10748,            0.066104,            0.016027,            0.026201,            0.008614,            0.008614,            0.008614
                   9,            0.072828,            0.026526,            0.028693,              0.3794,             0.47787,             0.43359,             0.19838,            0.056847,            0.016375,            0.022589,            0.008416,            0.008416,            0.008416
                  10,            0.058962,            0.025914,            0.028276,             0.33232,              0.4712,             0.40285,             0.15476,            0.057951,             0.01584,            0.023441,            0.008218,            0.008218,            0.008218
                  11,            0.060139,            0.029615,            0.026188,             0.38588,              0.5509,             0.49607,             0.22306,            0.051787,            0.016545,            0.020865,             0.00802,             0.00802,             0.00802
                  12,            0.055398,            0.028455,            0.023775,             0.39011,             0.59206,             0.40459,             0.16647,            0.055582,            0.016739,            0.017958,            0.007822,            0.007822,            0.007822
                  13,            0.062759,             0.02704,            0.023783,             0.39401,             0.58876,             0.42604,             0.19831,            0.051248,            0.015687,            0.016488,            0.007624,            0.007624,            0.007624
                  14,            0.054233,            0.026027,            0.021485,             0.46866,             0.60075,              0.5215,             0.27436,            0.047257,            0.016006,            0.015669,            0.007426,            0.007426,            0.007426
                  15,            0.051435,            0.028786,            0.019819,             0.53462,             0.59505,             0.53942,             0.23153,            0.046729,            0.016524,            0.016785,            0.007228,            0.007228,            0.007228
                  16,            0.051271,            0.025677,            0.020142,             0.54017,              0.5971,             0.49887,             0.26015,             0.05091,            0.016802,            0.015094,             0.00703,             0.00703,             0.00703
                  17,            0.054273,            0.027192,            0.019553,              0.5756,             0.71863,             0.67925,             0.31749,            0.047373,            0.015871,            0.014101,            0.006832,            0.006832,            0.006832
                  18,            0.049419,            0.024117,            0.019283,             0.48626,             0.68253,              0.5967,             0.29346,            0.043979,            0.015115,            0.013411,            0.006634,            0.006634,            0.006634
                  19,            0.049963,            0.024418,            0.016471,             0.52912,             0.60509,             0.59412,             0.30924,            0.041965,            0.015715,            0.014246,            0.006436,            0.006436,            0.006436
                  20,            0.048932,            0.026156,            0.017394,             0.58879,             0.59777,             0.62157,              0.3353,            0.041169,            0.015195,            0.013335,            0.006238,            0.006238,            0.006238
                  21,            0.050428,            0.028537,            0.017975,             0.55518,             0.66684,             0.64537,             0.35593,            0.041001,            0.014226,            0.011854,             0.00604,             0.00604,             0.00604
                  22,            0.044259,            0.026084,            0.015942,              0.6201,             0.66654,              0.6733,             0.37436,            0.040439,            0.014201,            0.012614,            0.005842,            0.005842,            0.005842
                  23,            0.043473,            0.022336,            0.015192,             0.53751,             0.70592,             0.64468,             0.36008,            0.040665,            0.014426,            0.011894,            0.005644,            0.005644,            0.005644
                  24,            0.048349,            0.024473,            0.013881,              0.5641,             0.70514,             0.64939,              0.2979,            0.043225,            0.014087,            0.010809,            0.005446,            0.005446,            0.005446
                  25,            0.045776,            0.023577,            0.012302,              0.6359,             0.68506,             0.72125,             0.39576,            0.038281,            0.014216,            0.010784,            0.005248,            0.005248,            0.005248
